Place Name,Latitude,Longitude,city,Province,city_zh,province_zh
"Zhangjiajie, Hunan",29.117001,110.478996,Zhangjiajie,Hunan,张家界,湖南省
"Xingyi, Guizhou",25.091999,104.894997,Xingyi,Guizhou,兴义,贵州省
"Anshan, Liaoning",41.116669,122.98333,Anshan,Liaoning,鞍山,辽宁省
"Datong, Shanxi",40.083332,113.300003,Datong,Shanxi,大同,山西省
"Changsha, Hunan",28.22800100000001,112.939003,Changsha,Hunan,长沙,湖南省
"Harbin, Heilongjiang",45.75,126.633331,Harbin,Heilongjiang,哈尔滨,黑龙江省
"Qingdao, Shandong",36.066898,120.382698,Qingdao,Shandong,青岛,山东省
"Shenyang, Liaoning",41.799999,123.400002,Shenyang,Liaoning,沈阳,辽宁省
"Hangzhou, Zhejiang",30.25,120.16666399999998,Hangzhou,Zhejiang,杭州,浙江省
"Nanjing, Jiangsu",32.049999,118.76667,Nanjing,Jiangsu,南京,江苏省
"Chengdu, Sichuan",30.657,104.066002,Chengdu,Sichuan,成都,四川省
"Wuhan, Hubei",30.583332,114.283333,Wuhan,Hubei,武汉,湖北省
Shanghai,31.224361,121.46917,Shanghai,Shanghai,上海,上海市
"Shenzhen, Guangdong",22.542883,114.062996,Shenzhen,Guangdong,深圳,广东省
"Guangzhou, Guangdong",23.128994,113.25325,Guangzhou,Guangdong,广州,广东省
"Chongqing, Chongqing",29.563009,106.551559,Chongqing,Chongqing,重庆,重庆市
"Xi'an, Shaanxi",34.341568,108.940178,Xi'an,Shaanxi,西安,陕西省
